"","X1","fecha","vix","sp500","dowjones","nasdaq"
"91"," 56","01 feb 2018","1985","  9980","63091.00000"," 6.85442"
"92"," 55","01 mar 2018","1997"," 10630","63107.00000"," 6.58113"
"93"," 54","01 abr 2018","1593","  9670","65175.00000"," 6.60557"
"94"," 53","01 may 2018","1543","  8990","65906.00000"," 6.96773"
"95"," 52","01 jun 2018","1609","  8980","64094.00000"," 7.04080"
"96"," 51","01 jul 2018","1283","  8280","62212.00000"," 7.23198"
"97"," 50","01 ago 2018","1286","  8130","61270.00000"," 7.65455"
"98"," 49","01 sept 2018","1212","  7880","62537.00000"," 7.62765"
"99"," 48","01 oct 2018","2123"," 10140","61302.00000"," 6.96710"
"100"," 47","01 nov 2018","1807","  9320","61195.00000"," 6.94901"
"101"," 46","01 dic 2018","2542"," 10682","57287.00000"," 6.32997"
"102"," 45","01 ene 2019","1657","  8967","60420.00000"," 6.90684"
"103"," 44","01 feb 2019","1478","  8238","61994.00000"," 7.09752"
"104"," 43","01 mar 2019","1371","  8217","62098.00000"," 7.37877"
"105"," 42","01 abr 2019","1312","  7934","62234.00000"," 7.78146"
"106"," 41","01 may 2019","1871","  8300","59826.00000"," 7.12796"
"107"," 40","01 jun 2019","1508","  7685","61941.00000"," 7.67107"
"108"," 39","01 jul 2019","1612","  7756","61307.00000"," 7.84878"
"109"," 38","01 ago 2019","1898","  8105","59631.00000"," 7.69100"
"110"," 37","01 sept 2019","1624","  7929","60509.00000"," 7.74945"
"111"," 36","01 oct 2019","1322","  7589","61910.00000"," 8.08383"
"112"," 35","01 nov 2019","1262","  7303","60984.00000"," 8.40368"
"113"," 34","01 dic 2019","1378","  6942","64231.00000"," 8.73307"
"114"," 33","01 ene 2020","1884","  7179","59136.00000"," 8.99151"
"115"," 32","01 feb 2020","4011","  7999","56368.00000"," 8.46183"
"116"," 31","01 mar 2020","5354"," 17038","46793.00000"," 7.81350"
"117"," 30","01 abr 2020","3415"," 16315","46915.00000"," 9.00051"
"118"," 29","01 may 2020","2751"," 15767","53178.00000"," 9.55552"
"119"," 28","01 jun 2020","3043"," 15590","56130.00000","10.15685"
"120"," 27","01 jul 2020","2446"," 14829","59133.00000","10.90588"
"121"," 26","01 ago 2020","2641"," 15197","63522.00000","12.11070"
"122"," 25","01 sept 2020","2637"," 13919","62667.00000","11.41806"
"123"," 24","01 oct 2020","3802"," 14373","62989.00000","11.05295"
"124"," 23","01 nov 2020","2057"," 10640","69042.00000","12.26832"
"125"," 22","01 dic 2020","2275"," 10923","73159.00000","12.88828"
"126"," 21","01 ene 2021","3309"," 13024","75813.00000","12.92538"
"127"," 20","01 feb 2021","2795"," 11215","81523.00000","12.90944"
"128"," 19","01 mar 2021","1940","  9155","80048.00000","13.09144"
"129"," 18","01 abr 2021","1861","  8858","86692.00000","13.86076"
"130"," 17","01 may 2021","1676","  8084","89234.00000","13.68651"
"131"," 16","01 jun 2021","1583","  7574","89601.00000","14.55480"
"132"," 15","01 jul 2021","1824","  7937","90640.00000","14.95990"
"133"," 14","01 ago 2021","1648","  7505","89441.00000","15.58251"
"134"," 13","01 sept 2021","2314","  7855","91973.00000","14.68962"
"135"," 12","01 oct 2021","1626","  7182","95807.00000","15.85047"
"136"," 11","01 nov 2021","2719","  8091","89386.00000","16.13592"
"137"," 10","01 dic 2021","1722","  6397","94624.00000","16.32008"
"138","  9","01 ene 2022","2483","  6202","    1.02363","14.93005"
"139","  8","01 feb 2022","3015","  6363","    1.09282","14.23781"
"140","  7","01 mar 2022","2056","  6083","    1.17389","14.83849"
"141","  6","01 abr 2022","3340","  7056","    1.20664","12.85480"
"142","  5","01 may 2022","2619","  6674","    1.21960","12.64210"
"143","  4","01 jun 2022","2871","  6900","    1.09551","11.50372"
"144","  3","01 jul 2022","2133","  6194","    1.09492","12.94797"
"145","  2","01 ago 2022","2587","  6325","    1.07330","12.27203"
"146","  1","01 sept 2022","2547","  6300","    1.05346","12.09844"
