"","Dia","Valor"
"202","21.Oct.2010",485.87
"203","22.Oct.2010",485.99
"204","25.Oct.2010",486.98
"205","26.Oct.2010",485.51
"206","27.Oct.2010",491.01
"207","28.Oct.2010",494.44
"208","29.Oct.2010",491.76
"209","02.Nov.2010",488.72
"210","03.Nov.2010",486.92
"211","04.Nov.2010",488.04
"212","05.Nov.2010",481.04
"213","08.Nov.2010",478.32
"214","09.Nov.2010",480.22
"215","10.Nov.2010",477.05
"216","11.Nov.2010",480.17
"217","12.Nov.2010",480.03
"218","15.Nov.2010",480.64
"219","16.Nov.2010",483.13
"220","17.Nov.2010",483.92
"221","18.Nov.2010",485.41
"222","19.Nov.2010",480.99
"223","22.Nov.2010",480.53
"224","23.Nov.2010",479.19
"225","24.Nov.2010",481.38
"226","25.Nov.2010",482.04
"227","26.Nov.2010",481.74
"228","29.Nov.2010",482.78
"229","30.Nov.2010",486.39
"230","01.Dec.2010",487.87
"231","02.Dec.2010",485.34
"232","03.Dec.2010",484.74
"233","06.Dec.2010",481.84
"234","07.Dec.2010",479.26
"235","09.Dec.2010",475.91
"236","10.Dec.2010",475.21
"237","13.Dec.2010",474.71
"238","14.Dec.2010",473.72
"239","15.Dec.2010",473.78
"240","16.Dec.2010",474.12
"241","17.Dec.2010",473.92
"242","20.Dec.2010",472.34
"243","21.Dec.2010",471.02
"244","22.Dec.2010",468.69
"245","23.Dec.2010",469.82
"246","24.Dec.2010",469.31
"247","27.Dec.2010",469.52
"248","28.Dec.2010",471.21
"249","29.Dec.2010",469.64
"250","30.Dec.2010",468.37
"251","03.Jan.2011",468.01
"252","04.Jan.2011",466.05
"253","05.Jan.2011",486.82
"254","06.Jan.2011",493.65
"255","07.Jan.2011",494.74
"256","10.Jan.2011",496.96
"257","11.Jan.2011",499.03
"258","12.Jan.2011",496.03
"259","13.Jan.2011",493.27
"260","14.Jan.2011",488.82
"261","17.Jan.2011",492.16
"262","18.Jan.2011",490.32
"263","19.Jan.2011",490.67
"264","20.Jan.2011",490.89
"265","21.Jan.2011",494.1
"266","24.Jan.2011",492.49
"267","25.Jan.2011",493.14
"268","26.Jan.2011",492.51
"269","27.Jan.2011",490.24
"270","28.Jan.2011",485.04
"271","31.Jan.2011",483.32
"272","01.Feb.2011",484.14
"273","02.Feb.2011",480.59
"274","03.Feb.2011",480.5
"275","04.Feb.2011",481.56
"276","07.Feb.2011",478.36
"277","08.Feb.2011",478.18
"278","09.Feb.2011",479.73
"279","10.Feb.2011",476.87
"280","11.Feb.2011",475.93
"281","14.Feb.2011",473.42
"282","15.Feb.2011",469.99
"283","16.Feb.2011",470.59
"284","17.Feb.2011",474.13
"285","18.Feb.2011",473.16
"286","21.Feb.2011",469.14
"287","22.Feb.2011",468.94
"288","23.Feb.2011",470.76
"289","24.Feb.2011",474.01
"290","25.Feb.2011",478.19
"291","28.Feb.2011",475.63
"292","01.Mar.2011",475.21
"293","02.Mar.2011",476.4
"294","03.Mar.2011",478.04
"295","04.Mar.2011",474.04
"296","07.Mar.2011",472.74
"297","08.Mar.2011",473.28
"298","09.Mar.2011",475.63
"299","10.Mar.2011",475.62
"300","11.Mar.2011",482.63
"301","14.Mar.2011",482.1
"302","15.Mar.2011",480.51
"303","16.Mar.2011",484.56
"304","17.Mar.2011",484.01
"305","18.Mar.2011",485.37
"306","21.Mar.2011",482.21
"307","22.Mar.2011",480.55
"308","23.Mar.2011",481.78
"309","24.Mar.2011",482.69
"310","25.Mar.2011",480.37
"311","28.Mar.2011",479.67
"312","29.Mar.2011",480.55
"313","30.Mar.2011",481.96
"314","31.Mar.2011",482.08
"315","01.Apr.2011",479.46
"316","04.Apr.2011",476.9
"317","05.Apr.2011",474.55
"318","06.Apr.2011",475.03
"319","07.Apr.2011",472.89
"320","08.Apr.2011",473.25
"321","11.Apr.2011",470.19
"322","12.Apr.2011",471
"323","13.Apr.2011",473.77
"324","14.Apr.2011",472.72
"325","15.Apr.2011",472.56
"326","18.Apr.2011",472.46
"327","19.Apr.2011",474.76
"328","20.Apr.2011",473.82
"329","21.Apr.2011",469.94
"330","25.Apr.2011",467.77
"331","26.Apr.2011",467.63
"332","27.Apr.2011",465.29
"333","28.Apr.2011",462.37
"334","29.Apr.2011",460.04
"335","02.May.2011",460.09
"336","03.May.2011",461.65
"337","04.May.2011",463.07
"338","05.May.2011",463.05
"339","06.May.2011",468.35
"340","09.May.2011",467.17
"341","10.May.2011",467.69
"342","11.May.2011",465.57
"343","12.May.2011",467.83
"344","13.May.2011",468.07
"345","16.May.2011",465.21
"346","17.May.2011",469.3
"347","18.May.2011",474.19
"348","19.May.2011",471.81
"349","20.May.2011",468.78
